system_name,x,y,z,population,stations_name,stations_type,stations_distance_to_star,Stations_controlling_minor_faction_id,stations_allegiance
Vucay,167.78125,-167.03125,-2.25,3845,SMJL Central,Coriolis Starport,2356,Empire,Imperial Cartographic Cooperative 
Wolf 393,29.65625,49.4375,-4.9375,30053,Moresby Dock,Coriolis Starport,75,Federation,Amun Public Co 
Yamari,82.15625,-258.75,-1.4375,8382,Timofeyevich Station,Coriolis Starport,230,Independent,Atahingar Co-op 
Veroklist,47.3125,-260.09375,73.5625,1760,Dyr Port,Coriolis Starport,224,Independent,Diamond Frogs 
Wirdii,148.59375,-75.125,85.46875,4606,MacCurdy Hub,Civilian Outpost,11397,Federation,G 65-9 Universal PLC 
Windadones,147.78125,-73.46875,119.5,2095,Hertzsprung Port,Industrial Outpost,207,Empire,HIP 113760 Solutions 
Yaksa,119.21875,-70.90625,-12.0625,2763,Lockhart Dock,Coriolis Starport,324,Federation,Phra Ram Future 
Widjalp,-131.1875,-0.53125,78.84375,1229,Ockels Terminal,Coriolis Starport,485,Federation,Revolutionary Party of Ngugira 
Vandar,48.78125,33.84375,-78.8125,25000,Macomb Dock,Civilian Outpost,1048,Federation,Manarato Partners 
Umaiali,129.90625,55.40625,107.15625,1838,Kerimov Colony,Ocellus Starport,699,Independent,Celestial Light Brigade 
Whadicates,98.9375,-95.59375,81.8125,2465,Kovalyonok Hangar,Civilian Outpost,3024,Federation,Movement for LHS 3163 League 
Vidattuns,-55.21875,-66.21875,33.34375,18501,Vlaicu Station,Coriolis Starport,96,Empire,Kalvante Monarchy 
Walladals,-120.625,-22.59375,125.15625,2470,Bacon Station,Civilian Outpost,32617,Federation,Union of Ensoreus Labour 
Waang,-112,-75.9375,-96.625,2541,Herreshoff Survey,Mining Outpost,11333,Independent,Guardians of Harmony 
Wangai,65.3125,-143.375,99.03125,2380639,Neumann Relay,Civilian Outpost,1234,Federation,RBS 742 Central PLC 
Wayica,19.96875,-210.6875,-47.09375,7775,Cuffey Orbital,Orbis Starport,327956,Empire,Naunei Patron's Principles 
Yanoi,1,-165.5,-94.21875,3025,Albitzky Platform,Coriolis Starport,1852,Empire,Chen Shapa Silver Public Ex 
Yum Chayuu,-14.65625,34.3125,135.96875,1935,Schmitt Horizons,Civilian Outpost,91,Federation,Naren Industry 
Willionai,-135.5,-77.75,82.125,12837,MacLean Orbital,Civilian Outpost,27,Federation,Namte Life & Co 
Vertsety,108.5,-28.875,78.28125,1939,Velazquez Station,Industrial Outpost,199,Alliance,Arimpox Pro-Alliance Party 
Umpilakap,-48.28125,-27.875,-17.8125,28965,Thiele Point,Industrial Outpost,890,Federation,Negani Partners 
Untun,103.5,-97.25,57.4375,4145,Sladek Station,Coriolis Starport,152764,Federation,Poemaku Ltd 
Uneligni,92.65625,48.78125,-168.90625,10104,Reamy Gateway,Ocellus Starport,573,Federation,HIP 29720 Allied Organisation 
Sefrys,-55.75,-53,161.125,1500000,Reed Colony,Civilian Outpost,1224,Independent,HIP 70681 Blue Rats 
Uzumoxii,-2.28125,-33.15625,-86.84375,9703895,Cormack Holdings,Civilian Outpost,111,Federation,LFT 1610 Company 
Yun Dzacae,129,52.4375,69.0625,1217,von Zach Station,Industrial Outpost,35,Empire,The House of Etherin 
Zhao Gong,162.46875,-89.875,73.84375,1916,Ford Dock,Industrial Outpost,50,Empire,Serktomes Imperial Society 
Undin,-88.28125,-64.59375,-79.125,1342473,Voss Terminal,Industrial Outpost,52,Federation,Largarayu Resistance 
Wolf 1438,21.21875,88.90625,-2.40625,272306,Meikle Settlement,Civilian Outpost,609,Federation,Cuchoen Inc 
Wulgu,150.9375,-207.15625,48.84375,3516,Larson Survey,Industrial Outpost,56560,Independent,Partnership of HIP 19147 
Vasuki,101.40625,-239.71875,51.25,215528,White Market,Coriolis Starport,647,Independent,Traditional Awonai Autocracy 
Wilastsi,-84,-21.84375,-88.28125,17237,Helms Platform,Industrial Outpost,2662,Independent,Kuwan Slavs aristocrats 
Wongaibon,31.5625,-118.34375,-72.90625,2571,Thagard Hub,Industrial Outpost,1063,Independent,Constitution Party of Kehperagwe 
Yu Tikua,-2.1875,66.71875,98.71875,1618,Hennen Dock,Orbis Starport,648,Independent,Autocracy of HIP 118251 
Vadimui,-2.90625,-144.09375,2.25,16277,Lopez de Haro Installation,Commercial Outpost,1386,Independent,Bald Crimson Organisation 
Te Kaha,-172.8125,13.3125,-154.625,100000,Lindbohm Retreat,Mining Outpost,781,Independent,Partnership of Oretana 
Warlaworka,12.125,-124.25,-24.78125,2214,Preuss' Claim,Civilian Outpost,90249,Independent,Kokosh Creative Company 
Zhuaruparci,-43.59375,-69.46875,64.34375,1490,Brundage Vision,Industrial Outpost,121,Empire,Munshin Empire Group 
Ceos,-348.65625,13.875,-339.21875,100000,Horowitz Dock,Civilian Outpost,71977,Independent,HIP 2824 Constitution Party 
Takurua,-253.8125,-4.0625,-254.1875,100000,Efremov Dock,Industrial Outpost,1593,Empire,Official Haroingori Defence Force 
Almagest,-274.65625,-10.8125,-271.34375,100000,Shapiro Plant,Industrial Outpost,1242,Empire,Official Haroingori Defence Force 
Yu Shanwen,190.40625,-115.21875,-2.53125,1956,Crown Horizons,Commercial Outpost,1632,Federation,Mendindui Systems 
Xpiyacoc,103.8125,-32,129.84375,5539,Arago Vision,Industrial Outpost,543,Empire,Doolona Empire League 
Vendemo,-25.9375,-65.8125,-36.46875,6146621,Jun Station,Military Outpost,53,Independent,Citizen Party of Chireni 
Yami,-111.03125,103.65625,32.03125,14285,Lagrange City,Civilian Outpost,1051,Federation,Democrats of G 59-7 
Vili,-11.03125,-114.09375,34.875,2362,Daimler Ring,Orbis Starport,27,Independent,Diabak Corporation 
Wiyotset,-115.65625,-80.25,-63.53125,12705,Wohler Horizons,Coriolis Starport,14195,Federation,LQ Hydrae Confederation 
Virset,-75.125,112.59375,45.09375,27870,Wilson Dock,Industrial Outpost,1733,Independent,Candiaei League 
Woriosolis,-1.34375,106.84375,74.15625,908,Tomita Survey,Civilian Outpost,126,Empire,Chati Imperial Society 
Wasens,159.46875,-179.6875,57.8125,4877,Roelofs Station,Coriolis Starport,96,Empire,Wababa Imperial Society 
Xuang Wa,119.65625,-104.71875,-37.125,1927,Bentham Terminal,Coriolis Starport,60,Independent,Bureau of HIP 2725 Nationalists 
Urabey,64.09375,-18.71875,-86.28125,20702,Higginbotham City,Civilian Outpost,99,Independent,Allied Trimir Justice Party 
Vodyang,55.59375,-34.25,135.375,2554,Vardeman Holdings,Civilian Outpost,1168,Independent,HIP 34024 League 
LTT 9846,-89.84375,-271.96875,11.09375,65000,Nowak City,Scientific Outpost,1968,Independent,Luvalla Jet Cartel 
Yurong,-91.46875,-123.5,-39.21875,3732,Fossum Ring,Ocellus Starport,76,Empire,Moram Silver Comms & Co 
Winiama,37.96875,54.375,39.625,5932771,Burgess Colony,Industrial Outpost,7,Federation,Qawamita Bridge & Co 
Waangamici,18.65625,-136.21875,1.5,4362,Asher Station,Industrial Outpost,227774,Alliance,Eta Draconis Gold Vision Co 
Zoryacenuo,121.96875,-59.71875,28.78125,371514,Arisman Beacon,Mining Outpost,1042,Empire,Purple Fortune Solutions 
Wauksarra,-90.28125,-110.28125,4.59375,4134,Howard Works,Industrial Outpost,43000,Independent,HR 409 Cartel 
Vargerson,95.53125,-164.625,39.90625,750000,Ivanchenkov Terminal,Orbis Starport,78,Federation,G 83-13 Independents 
Yun Puggera,-14.59375,-124.71875,13.3125,45663,Scotti Vision,Ocellus Starport,590,Independent,Achan One 
Yen Hsin,66.5625,-48.84375,59.78125,1946,Alvares Gateway,Coriolis Starport,888,Independent,Guardians of Harmony 
Wattragwa,-2.375,-139.28125,30.25,10326606631,Godel Enterprise,Industrial Outpost,8761,Independent,HIP 13291 Industry 
V379 Serpentis,-1.40625,37.0625,35.9375,43918,Burnet Orbital,Orbis Starport,373,Federation,United Maevelite Green Party 
V841 Arae,58.53125,-15.53125,102.125,2721,Al-Khayyam Hub,Industrial Outpost,287,Alliance,Wolf 406 Transport & Co 
Umvelis,111.6875,84.84375,65.375,1298,Frankal,Orbis Starport,943,Empire,Taevaisa Imperial Society 
Wadjabangai,-24.53125,-33.78125,108.8125,1863851,Guidoni Orbital,Industrial Outpost,16,Federation,LFT 859 Services 
Piscium Sector GH-V b2-0,-100.21875,-62.71875,-44.125,572306967,Ziewe Penal colony,Planetary Outpost,434,Empire,Gura Empire Group 
Yen Di,4.78125,-44.09375,-92.84375,3428312,Cleave Dock,Industrial Outpost,173,Independent,LP 802-68 Transport Corp. 
Col 285 Sector AH-K c9-13,-119.125,96.46875,32,441988,al-Haytham Stop,Planetary Outpost,308753,Independent,New Sugal Autocracy 
Wolf 294,1,4.9375,-17.53125,3399,Arzachel Terminal,Orbis Starport,416,Empire,Bunuson Crimson Natural Inc 
Wanggu,-132.71875,30.96875,-39.59375,3892,Hirayama City,Ocellus Starport,1952,Empire,Epsilon Phoenicis Principles 
Vukuapa,-63.875,64.84375,-47.25,1672,Dantec Plant,Civilian Outpost,156,Alliance,Andra Stakeholders 
Virudnir,-12.78125,143.28125,-66.125,11578,Khrenov Dock,Industrial Outpost,196,Empire,Dukes of Kachakapa 
V989 Cassiopeiae,-45.375,6.78125,-39.625,200831,Gehrels Gateway,Coriolis Starport,565,Empire,Tarbeh Empire Assembly 
V374 Andromedae,-39,-15.9375,-41.3125,7858648,Cayley Orbital,Mining Outpost,223,Independent,Brothers of 32 c Piscium 
V372 Puppis,45.84375,-5.09375,-22.15625,3148822,Herrington Enterprise,Industrial Outpost,188,Independent,Justice Party of 32 c Piscium 
Wanagi,91.21875,-148.4375,131.46875,4525,Broderick Enterprise,Civilian Outpost,250,Independent,Mbukub Cabe Independents 
Umaspi,18.6875,-72.71875,-14.1875,2023524,Newton City,Coriolis Starport,511,Independent,Conservatives of Ewah 
Yamatzicni,40.5,-115.25,39.4375,4534,Avogadro Plant,Civilian Outpost,18515,Federation,Aramorians Transport & Co 
Waimile,128.5,-202.40625,120.71875,1870,Shaara Platform,Industrial Outpost,17596,Independent,Wikehali Citizen Party 
Yun Hsie,-70.5,-26.59375,97.9375,2214403,Wegner Hub,Civilian Outpost,5518,Empire,Dukes of Bhajaja 
Yadhariu,-96.3125,34.0625,68.90625,4538699,Besonders Landing,Mining Outpost,68,Alliance,Brodal Blue Creative Partners 
Vukuna,-45.15625,50.1875,101.4375,6340938,Gelfand Orbital,Industrial Outpost,2470,Independent,Pi Mensae Brotherhood 
Wurr,-33.78125,-42.5625,69.28125,24903,Bramah Dock,Coriolis Starport,147,Independent,HIP 107412 Jet Major Holdings 
Zemez,-11.6875,9.5625,60.3125,47890,Schomburg Terminal,Mining Outpost,37,Empire,Picoria Defence Party 
Woda,-55.875,-78.3125,-80.1875,1333982,Nijland Port,Orbis Starport,344,Empire,Nukama Incorporated 
Yarifukura,141.65625,-129.625,5.3125,1985359,Eisinga Colony,Coriolis Starport,35509,Empire,Constitution Party of Gamma-1 Volantis 
Yamahun,-11.15625,-43.625,-70.25,16507,Fraas Ring,Ocellus Starport,14,Federation,United San Muss Values Party 
Ullese,35.75,-73.78125,38.96875,2306,Perga Vision,Industrial Outpost,40,Independent,Epomani Theocracy 
Yao Tzu,82.78125,-174.6875,28.3125,4049046,MacLean Port,Civilian Outpost,21322,Independent,New G 87-16 Freedom Party 
Utgaroar,-0.15625,-102.75,-5.5625,1500000,Reynolds Orbital,Orbis Starport,1569,Alliance,Tellus Group 
Wolf 573,-6.25,31.59375,35.3125,3500000,Chebyshev Enterprise,Civilian Outpost,26,Independent,Sirius Industrial 
Wulpa,-126.09375,-83.09375,-85.5625,1728245,Kolmogorov Freeport,Mining Outpost,56417,Independent,Partnership of HIP 19147 
HIP 18518,-61.5625,-39.15625,-169.90625,84496,Yu Plant,Unknown Planetary,294,Independent,Velas Independent Governance 
Vivata,17.96875,-77.375,-17.59375,1348,Kovalevsky Orbital,Industrial Outpost,350,Independent,12 Persei Silver Transport & Co 
Wolf 1019,-61.28125,-56.03125,24.5625,16863,Oleskiw City,Ocellus Starport,18,Independent,Pan Galactic Mining Corp. 
Col 285 Sector CI-N b22-4,64.15625,99.625,128.59375,1145,Nagata Bastion,Planetary Outpost,632,Federation,Future of Misisture 
Weleutaheim,-8.4375,95.21875,134.5,3752,Shaver Mines,Industrial Outpost,473,Independent,Yun Dzacae Purple Organisation 
Valteki,41.90625,-46.375,-65.15625,25081,Lu Terminal,Ocellus Starport,9,Independent,DaVinci Corp. 
Vana,-0.65625,-68.53125,114.84375,35487,Chaudhary Orbital,Civilian Outpost,139,Federation,Wolf 325 Legal Network 
Yuror,-53.875,-111.375,76.90625,2706297,Hahn Ring,Orbis Starport,97,Federation,Dongkum Legal Corp. 
Yawa,54.65625,-86.125,23.4375,7262730,Bardeen Ring,Commercial Outpost,1049,Federation,Pacana Jet Comms Organisation 
Vertumnus,-54.28125,13.875,19.40625,11130427,Land Station,Industrial Outpost,1684,Alliance,Ouroboros Holdings Corps 
Wadjarimpo,-90.3125,-31.21875,23.34375,3096667,Cantor Gateway,Orbis Starport,70,Independent,Revolutionary Party of Juipedun 
Wogama,-88.46875,-35.3125,53.09375,3043968,Cernan Dock,Ocellus Starport,1470,Independent,Aseveljet 
Verbigeni,-64.75,-7.6875,57,41225,Swanson Settlement,Industrial Outpost,30762,Federation,LP 747-25 Creative Organisation 
Wolf 1051,-32.40625,-43.75,-6.875,18450,Whitelaw Gateway,Coriolis Starport,699,Independent,Nationals of HIP 493 
V492 Lyrae,-40.96875,14.78125,15.0625,657022,Arisman Survey,Mining Outpost,6,Empire,Malgar Creative Corp. 
Teshub,3.375,-61.125,-10.78125,150000,Tucker Dock,Civilian Outpost,1579,Alliance,HIP 53634 Gold Public Holdings 
Tricastini,133.375,36.5625,10,3966070,Beckman Hub,Civilian Outpost,499,Federation,United 11 Virginis Free 
Sauraratec,120.34375,-97.375,-17.5625,4779409,Wakata Gateway,Orbis Starport,11754,Federation,Social Talitha for Equality 
Pangwa,94.96875,98.71875,103.5625,1699,Greenleaf Orbital,Coriolis Starport,1644,Independent,The Dukes of Mikunn 
Pue De,69.53125,92.40625,-10.03125,1358654,Hill Terminal,Commercial Outpost,22316,Empire,Laur Commodities 
Saelini,61.84375,-76.53125,-95.0625,2165,Kononenko Orbital,Mining Outpost,354,Federation,Revolutionary Fincien Democrats 
Runab,-18.9375,39.5,-114.78125,17391,Niijima Survey,Mining Outpost,2232,Empire,United Guguroro Focus 
Piculta,-7.53125,-69.28125,49,22957,Solovyov City,Ocellus Starport,2214,Federation,Independents of Don 
San Wuhtire,-62.53125,41.65625,-138.65625,40615,Cayley Port,Industrial Outpost,18,Independent,Njambandine Focus 
Sienses,-82.21875,-17.375,-60.8125,1739,Hopkins Port,Mining Outpost,45,Federation,Wonneriti Resistance 
Tencali,-74.03125,-113,101.28125,2242,Pook Reach,Civilian Outpost,3853,Independent,Ewenet Worker's Party 
Trany,-92.53125,80.4375,79.875,1866,Foale Landing,Industrial Outpost,478,Federation,United HIP 81071 Revolutionary Party 
Santal,66.5625,13.96875,-23.78125,2702,Hurston Holdings,Civilian Outpost,62297,Independent,Union Party of Kulis 
Sepathians,145.65625,58.3125,-61.65625,2250,Moresby Installation,Civilian Outpost,1457,Independent,Kutja Silver Drug Empire 
Saranggura,53.1875,-212.09375,-23.28125,6030,Hieb Orbital,Industrial Outpost,159,Federation,Bipeduwa Systems 
Ross 495,-36.71875,153.875,34.96875,31638,Edgeworth Port,Industrial Outpost,961,Federation,LHS 112 Democrats 
Ryu,-47.03125,83.09375,22.125,20069,Robinson Orbital,Industrial Outpost,1786,Federation,HIP 79327 Corporation 
Ross 562,-62.21875,5.71875,-81.28125,12114001,Friesner Station,Commercial Outpost,1286,Federation,HIP 28135 Industries 
Sarawoyn,150.3125,-100.5625,110.375,7862,Yurchikhin Port,Mining Outpost,371,Independent,Traditional 1 Hydrae Nationalists 
Rudrato,140.78125,-9.65625,59.6875,2739,Robinson City,Orbis Starport,52,Federation,Mac Cimi Corporation 
Triteia,-47.3125,16.90625,-65.90625,3507259011,West Hub,Coriolis Starport,487,Independent,Panarion Future 
Tucanae Sector DQ-Y c11,131.78125,-234.96875,98.9375,81756,Dyr Barracks,Planetary Outpost,385,Independent,The Winged Hussars 
Shorix,80.96875,-41.03125,-63,18577,Slade Dock,Civilian Outpost,485,Federation,HIP 102016 Purple Legal Holdings 
Ten Mayan,143.9375,-198.78125,105.8125,1823,Maybury Port,Industrial Outpost,335,Empire,Huano Empire League 
Piruba,115.875,-186.0625,-23.125,2184,Kranz City,Civilian Outpost,1422,Independent,Gliese 9029 Future 
Turong,111.875,-196.1875,79.03125,2323,Leeuwenhoek Orbital,Civilian Outpost,266,Federation,Gliese 452.3 Blue Public & Co 
Runga,78.03125,100.09375,63.21875,3206,Bowen Terminal,Coriolis Starport,557,Independent,NLTT 38960 Systems 
Sirona,75.3125,66.5,89.65625,1612,Morgan Port,Mining Outpost,550,Independent,People's Djambarex Republic Party 
Paratolit,81.1875,-150.53125,118.9375,2603,Curie Port,Coriolis Starport,566,Federation,BD-20 2665 State Organisation 
Rerebatz,66.71875,-208.4375,107.03125,4666,Huygens Enterprise,Commercial Outpost,12632,Independent,Order of 7 Pi-1 Orionis 
Tpheim,55.625,-223.125,79.34375,1984,Stableford Orbital,Ocellus Starport,72,Federation,LHS 53 Exchange 
Tabaye,68.5625,-212.625,-3.5625,3189836,Olivas Orbital,Industrial Outpost,1097,Independent,Allied HIP 87914 Law Party 
Svarth,38.28125,116.78125,38.65625,2645,Richards City,Scientific Outpost,35,Federation,LHS 3295 Legal Holdings 
Scythia,6.75,-76.90625,-150.34375,13545,Fuglesang Hub,Orbis Starport,148,Federation,Hariates Labour 
Privia,-58.1875,-81,57.03125,1931,Cardano Dock,Industrial Outpost,197,Federation,Andlit Co 
Tomath,-118.75,97.71875,17.59375,15893,Hauck Gateway,Coriolis Starport,693,Federation,New Djeranses Revolutionary Party 
Paleni,-94.1875,-75,-7.78125,44782,Frobac's Hope,Coriolis Starport,615,Federation,Difu Labour 
Tooges,-129.34375,6.40625,108.3125,126097,Zalyotin Mine,Mining Outpost,904,Federation,Confederation of Owionenseno 
Puntinelao,186.5625,-162.5,67.125,3847,Hoffmeister Hub,Industrial Outpost,954,Independent,Party of Yoru 
Saharveti,157.0625,15.34375,-0.9375,1984,Engle City,Scientific Outpost,467,Empire,HR 6565 Triad 
Silurinmuti,103.75,-199.46875,-37.34375,2211,Wood Dock,Coriolis Starport,2462,Empire,6th Interstellar Corps 
Vindumbiva,-78.3125,-52.34375,122.71875,977,Neugebauer Hangar,Civilian Outpost,78,Empire,Lausang Empire Group 
Piliwa,56.71875,98.46875,-79.0625,6068,Robinson Port,Industrial Outpost,1686,Federation,Finteno Free 
Pi Disci,37.46875,-3.78125,-102.78125,1938,Littrow Gateway,Orbis Starport,1759,Empire,Comunidad Hispana 
Uadjala,36.375,-139.40625,100.5625,81748,Leavitt Enterprise,Commercial Outpost,45,Federation,Hirani Republic Party 
Tarbalu,20.5,-2.6875,-164.1875,1336,Poleshchuk Hub,Orbis Starport,831,Federation,Maxwell Corp. of Eta-1 Pictoris 
Tibitou,146.59375,-43.3125,18.125,1511870,Jeschke Dock,Civilian Outpost,87,Federation,Federal Reclamation Co 
Siluruba,-0.125,140.46875,-22.90625,5908957,Forest Settlement,Mining Outpost,1890,Federation,Alliance of Ocainn 
Patal,-1.3125,-117.71875,-52.9375,19313,Shinjo Ring,Ocellus Starport,3916,Empire,6th Interstellar Corps 
Pakaia,-19.625,-142.15625,96.40625,1752,Ciferri Port,Mining Outpost,52,Independent,Alkuylkanam Co 
Salliyalar,-22.21875,-142.6875,79.9375,2379,O'Brien Enterprise,Orbis Starport,89,Federation,Kammato Company 
Sharijio,-39.375,35.96875,-104.375,25558,Fidalgo Vision,Civilian Outpost,3008,Independent,HIP 83137 Nobles 
Pongs,-39.8125,-180.46875,37.53125,58693,Amano Dock,Industrial Outpost,2343,Empire,Order of HIP 11537 
Rasa,-81.5625,24.5,133.09375,15616,Hughes Hub,Coriolis Starport,464,Empire,Imperial Privateers 
Saelina,-60.625,89.5625,-56.375,2067,Selye Dock,Industrial Outpost,1149,Federation,Progressive Party of Cama 
Pallu,-140.65625,59.875,17.78125,2974,Karlsefni Hub,Orbis Starport,1722,Alliance,HIP 79152 Industries 
Paita,-128.3125,-61.65625,106.9375,1391,Hale Orbital,Coriolis Starport,407,Federation,Values Party of Albarib 
Pulaya,134.875,-70.625,99.28125,238786,Fabian Installation,Military Outpost,22,Empire,Natural Orocori Law Party 
Waragwaa,102.5625,-179.59375,115.5,4687,Al-Kashi Hub,Industrial Outpost,1943,Independent,New Lalande 3118 Left Party 
Titici,-80.125,-120.0625,96.9375,11488,Friesner Prospect,Industrial Outpost,42,Independent,Ipterod Regulatory State 
Privir,-161.0625,16.5,-22.875,1361,Burnell Terminal,Mining Outpost,2057,Federation,Wolf 865 Group 
Sun Tsanapi,95.46875,21.46875,-102.5,3000,Asimov Gateway,Orbis Starport,512,Independent,Le Ejja Jet Hand Gang 
Sugagarr,100.3125,-180.25,166.28125,17389,Axon Orbital,Coriolis Starport,55,Empire,Kauruku Empire League 
Ross 809,-71.78125,77.78125,51.09375,4177900,Walker Ring,Coriolis Starport,2059,Independent,Wings Of Justice 
Sieni,22.8125,-24.78125,-160.375,2435,Arber Hub,Scientific Outpost,585,Federation,Acatesano Partnership 
Virud,-60.75,-9.6875,81.625,14849,Carpenter Station,Coriolis Starport,455,Independent,Maipuna Interstellar 
Rigo,59.09375,14.625,-86.125,28366,Hoffleit Port,Civilian Outpost,104081,Empire,Jimara Ltd 
Unuteriges,148.46875,-122.4375,-59.375,3868,Favier Installation,Industrial Outpost,814,Federation,LTT 6278 Blue Life Commodities 
